case,method,m,maxn,status,iter,ap,pObj,wall_ms
gpp124-2,hsde-nt,125,124,timeout,-1,nan,nan,90377
gpp124-3,nt,125,124,optimal,14,0.000010657788152457215,-153.0141359723719,38204
gpp124-3,hsde-nt,125,124,timeout,-1,nan,nan,90504
control5,nt,351,50,optimal,50,0.000009137030775541177,16.883606085817515,51449
control5,hsde-nt,351,50,optimal,36,5.320483147386312e-7,16.883599857647912,37887
qap7,nt,358,50,optimal,12,0.0028004179940026575,-424.81309586712763,30560
qap7,hsde-nt,358,50,optimal,28,0.000025715510027168875,-424.8173817990937,71744
arch2,nt,174,174,timeout,-1,nan,nan,91283
arch2,hsde-nt,174,174,timeout,-1,nan,nan,91839
arch0,nt,174,174,timeout,-1,nan,nan,91478
arch0,hsde-nt,174,174,timeout,-1,nan,nan,91962
arch8,nt,174,174,timeout,-1,nan,nan,91155
arch8,hsde-nt,174,174,timeout,-1,nan,nan,91850
arch4,nt,174,174,timeout,-1,nan,nan,91534
arch4,hsde-nt,174,174,timeout,-1,nan,nan,91914
control6,nt,496,60,timeout,-1,nan,nan,90446
control6,hsde-nt,496,60,timeout,-1,nan,nan,90597
ss30,nt,132,294,timeout,-1,nan,nan,91898
ss30,hsde-nt,132,294,timeout,-1,nan,nan,91606
theta2,nt,498,100,optimal,13,6.128063535504324e-7,32.87916842645976,80527
theta2,hsde-nt,498,100,optimal,13,2.111725829201383e-7,32.879169050314395,81643
mcp250-4,nt,250,250,timeout,-1,nan,nan,92200
mcp250-4,hsde-nt,250,250,timeout,-1,nan,nan,92340
mcp250-2,nt,250,250,timeout,-1,nan,nan,92155
mcp250-2,hsde-nt,250,250,timeout,-1,nan,nan,92334
mcp250-3,nt,250,250,timeout,-1,nan,nan,91942
mcp250-3,hsde-nt,250,250,timeout,-1,nan,nan,92109
mcp250-1,nt,250,250,timeout,-1,nan,nan,92763
mcp250-1,hsde-nt,250,250,timeout,-1,nan,nan,92236
gpp250-3,nt,251,250,timeout,-1,nan,nan,92762
gpp250-3,hsde-nt,251,250,timeout,-1,nan,nan,92924
gpp250-1,nt,251,250,timeout,-1,nan,nan,92989
gpp250-1,hsde-nt,251,250,timeout,-1,nan,nan,92877
gpp250-4,nt,251,250,timeout,-1,nan,nan,92965
gpp250-4,hsde-nt,251,250,timeout,-1,nan,nan,92855
gpp250-2,nt,251,250,timeout,-1,nan,nan,93151
gpp250-2,hsde-nt,251,250,timeout,-1,nan,nan,92883
